set	num	name	原因
AC2b	219/200	冰伊布GX	無官方id
AC2b	220/200	甲賀忍蛙GX	無官方id
AC2b	221/200	頑皮雷彈GX	無官方id
AC2b	222/200	巨鉗螳螂GX	無官方id
AC2b	223/200	壘磊石GX	無官方id
AC2b	224/200	烈空坐GX	無官方id
AC2b	225/200	索爾迦雷歐GX	無官方id
AS5a	185/184	時拉比&妙蛙花GX	無官方id
AS5a	186/184	時拉比&妙蛙花GX	無官方id
AS5a	187/184	費洛美螂&爆肌蚊GX	無官方id
AS5a	188/184	費洛美螂&爆肌蚊GX	無官方id
AS5a	189/184	摩魯蛾GX	無官方id
AS5a	190/184	鯉魚王&吼鯨王GX	無官方id
AS5a	191/184	鯉魚王&吼鯨王GX	無官方id
AS5a	192/184	水箭龜GX	無官方id
AS5a	193/184	皮卡丘&捷克羅姆GX	無官方id
AS5a	194/184	皮卡丘&捷克羅姆GX	無官方id
AS5a	195/184	雷丘&阿羅拉 雷丘GX	無官方id
AS5a	196/184	雷丘&阿羅拉 雷丘GX	無官方id
AS5a	197/184	咚咚鼠GX	無官方id
AS5a	198/184	甲賀忍蛙&索羅亞克GX	無官方id
AS5a	199/184	甲賀忍蛙&索羅亞克GX	無官方id
AS5a	200/184	烏鴉頭頭GX	無官方id
AS5a	201/184	拉帝亞斯&拉帝歐斯GX	無官方id
AS5a	202/184	拉帝亞斯&拉帝歐斯GX	無官方id
AS5a	203/184	伊布&卡比獸GX	無官方id
AS5a	204/184	伊布&卡比獸GX	無官方id
AS5a	211/184	時拉比&妙蛙花GX	無官方id
AS5a	212/184	費洛美螂&爆肌蚊GX	無官方id
AS5a	213/184	摩魯蛾GX	無官方id
AS5a	214/184	鯉魚王&吼鯨王GX	無官方id
AS5a	215/184	水箭龜GX	無官方id
AS5a	216/184	皮卡丘&捷克羅姆GX	無官方id
AS5a	217/184	雷丘&阿羅拉 雷丘GX	無官方id
AS5a	218/184	咚咚鼠GX	無官方id
AS5a	219/184	甲賀忍蛙&索羅亞克GX	無官方id
AS5a	220/184	烏鴉頭頭GX	無官方id
AS5a	221/184	拉帝亞斯&拉帝歐斯GX	無官方id
AS5a	222/184	伊布&卡比獸GX	無官方id
AS5b	187/186	萊希拉姆&噴火龍GX	無官方id
AS5b	188/186	萊希拉姆&噴火龍GX	無官方id
AS5b	189/186	席多藍恩GX	無官方id
AS5b	190/186	臭臭泥&阿羅拉 臭臭泥GX	無官方id
AS5b	191/186	臭臭泥&阿羅拉 臭臭泥GX	無官方id
AS5b	192/186	耿鬼&謎擬QGX	無官方id
AS5b	193/186	耿鬼&謎擬QGX	無官方id
AS5b	194/186	瑪夏多&怪力GX	無官方id
AS5b	195/186	瑪夏多&怪力GX	無官方id
AS5b	196/186	路卡利歐&美錄梅塔GX	無官方id
AS5b	197/186	路卡利歐&美錄梅塔GX	無官方id
AS5b	198/186	大嘴娃GX	無官方id
AS5b	199/186	沙奈朵&仙子伊布GX	無官方id
AS5b	200/186	沙奈朵&仙子伊布GX	無官方id
AS5b	201/186	風妖精GX	無官方id
AS5b	202/186	烈咬陸鯊&騎拉帝納GX	無官方id
AS5b	203/186	烈咬陸鯊&騎拉帝納GX	無官方id
AS5b	204/186	貓老大GX	無官方id
AS5b	205/186	鐵火輝夜GX	無官方id
AS5b	212/186	萊希拉姆&噴火龍GX	無官方id
AS5b	213/186	席多藍恩GX	無官方id
AS5b	214/186	臭臭泥&阿羅拉 臭臭泥GX	無官方id
AS5b	215/186	耿鬼&謎擬QGX	無官方id
AS5b	216/186	瑪夏多&怪力GX	無官方id
AS5b	217/186	路卡利歐&美錄梅塔GX	無官方id
AS5b	218/186	大嘴娃GX	無官方id
AS5b	219/186	沙奈朵&仙子伊布GX	無官方id
AS5b	220/186	風妖精GX	無官方id
AS5b	221/186	烈咬陸鯊&騎拉帝納GX	無官方id
AS5b	222/186	貓老大GX	無官方id
AS5b	223/186	鐵火輝夜GX	無官方id
AS6a	197/196	瑪狃拉	無官方id
AS6a	198/196	瓦斯彈	無官方id
AS6a	199/196	艾路雷朵	無官方id
AS6a	200/196	謎擬Q	無官方id
AS6a	201/196	長毛狗	無官方id
AS6a	202/196	妙蛙花&藤藤蛇GX	無官方id
AS6a	203/196	妙蛙花&藤藤蛇GX	無官方id
AS6a	204/196	木木梟&阿羅拉 椰蛋樹GX	無官方id
AS6a	205/196	木木梟&阿羅拉 椰蛋樹GX	無官方id
AS6a	206/196	霸王花GX	無官方id
AS6a	207/196	超夢&夢幻GX	無官方id
AS6a	208/196	超夢&夢幻GX	無官方id
AS6a	209/196	朽木妖&黑夜魔靈GX	無官方id
AS6a	210/196	朽木妖&黑夜魔靈GX	無官方id
AS6a	211/196	索爾迦雷歐&露奈雅拉GX	無官方id
AS6a	212/196	拉帝歐斯GX	無官方id
AS6a	213/196	花舞鳥GX	無官方id
AS6a	214/196	超級勾魂眼&班基拉斯GX	無官方id
AS6a	215/196	超級勾魂眼&班基拉斯GX	無官方id
AS6a	216/196	阿羅拉 貓老大GX	無官方id
AS6a	217/196	波克比&皮寶寶&寶寶丁GX	無官方id
AS6a	218/196	波克比&皮寶寶&寶寶丁GX	無官方id
AS6a	219/196	四顎針龍&惡食大王GX	無官方id
AS6a	220/196	四顎針龍&惡食大王GX	無官方id
AS6a	221/196	四顎針龍GX	無官方id
AS6a	232/196	妙蛙花&藤藤蛇GX	無官方id
AS6a	233/196	木木梟&阿羅拉 椰蛋樹GX	無官方id
AS6a	234/196	霸王花GX	無官方id
AS6a	235/196	超夢&夢幻GX	無官方id
AS6a	236/196	朽木妖&黑夜魔靈GX	無官方id
AS6a	237/196	索爾迦雷歐&露奈雅拉GX	無官方id
AS6a	238/196	拉帝歐斯GX	無官方id
AS6a	239/196	花舞鳥GX	無官方id
AS6a	240/196	超級勾魂眼&班基拉斯GX	無官方id
AS6a	241/196	阿羅拉 貓老大GX	無官方id
AS6a	242/196	波克比&皮寶寶&寶寶丁GX	無官方id
AS6a	243/196	四顎針龍&惡食大王GX	無官方id
AS6a	244/196	四顎針龍GX	無官方id
AS6a	245/196	偉大捕捉器	無官方id
AS6a	246/196	貴重球	無官方id
AS6a	247/196	莉莉艾的皮皮玩偶	無官方id
AS6a	248/196	巨型炸彈	無官方id
AS6a	249/196	常青森林	無官方id
AS6a	250/196	無人發電廠	無官方id
AS6a	251/196	弱點防守能量	無官方id
AS6a	252/196	抽出能量	無官方id
AS6b	195/194	煤炭龜	無官方id
AS6b	196/194	波加曼	無官方id
AS6b	197/194	弱丁魚	無官方id
AS6b	198/194	皮卡丘	無官方id
AS6b	199/194	小磁怪	無官方id
AS6b	200/194	龍頭地鼠	無官方id
AS6b	201/194	大鋼蛇	無官方id
AS6b	202/194	噴火龍&長尾火狐GX	無官方id
AS6b	203/194	噴火龍&長尾火狐GX	無官方id
AS6b	204/194	火神蛾GX	無官方id
AS6b	205/194	水箭龜&波加曼GX	無官方id
AS6b	206/194	水箭龜&波加曼GX	無官方id
AS6b	207/194	呆呆獸&可達鴨GX	無官方id
AS6b	208/194	呆呆獸&可達鴨GX	無官方id
AS6b	209/194	凱路迪歐GX	無官方id
AS6b	210/194	弱丁魚GX	無官方id
AS6b	211/194	化石翼龍GX	無官方id
AS6b	212/194	沙漠蜻蜓GX	無官方id
AS6b	213/194	阿爾宙斯&帝牙盧卡&帕路奇亞GX	無官方id
AS6b	214/194	阿爾宙斯&帝牙盧卡&帕路奇亞GX	無官方id
AS6b	215/194	萊希拉姆&捷克羅姆GX	無官方id
AS6b	216/194	快龍GX	無官方id
AS6b	217/194	超級長耳兔&胖丁GX	無官方id
AS6b	218/194	超級長耳兔&胖丁GX	無官方id
AS6b	219/194	火焰鳥&閃電鳥&急凍鳥GX	無官方id
AS6b	220/194	火焰鳥&閃電鳥&急凍鳥GX	無官方id
AS6b	221/194	銀伴戰獸GX	無官方id
AS6b	232/194	噴火龍&長尾火狐GX	無官方id
AS6b	233/194	火神蛾GX	無官方id
AS6b	234/194	水箭龜&波加曼GX	無官方id
AS6b	235/194	呆呆獸&可達鴨GX	無官方id
AS6b	236/194	凱路迪歐GX	無官方id
AS6b	237/194	弱丁魚GX	無官方id
AS6b	238/194	化石翼龍GX	無官方id
AS6b	239/194	沙漠蜻蜓GX	無官方id
AS6b	240/194	阿爾宙斯&帝牙盧卡&帕路奇亞GX	無官方id
AS6b	241/194	萊希拉姆&捷克羅姆GX	無官方id
AS6b	242/194	快龍GX	無官方id
AS6b	243/194	超級長耳兔&胖丁GX	無官方id
AS6b	244/194	火焰鳥&閃電鳥&急凍鳥GX	無官方id
AS6b	245/194	銀伴戰獸GX	無官方id
M-P	039/M-P	萊希拉姆ex	無官方id
M-P	041/M-P	捷克羅姆ex	無官方id
M-P	173/M-P	妙蛙種子	無官方id
M-P	174/M-P	小火龍	無官方id
M-P	175/M-P	傑尼龜	無官方id
M-P	176/M-P	菊草葉	無官方id
M-P	177/M-P	火球鼠	無官方id
M-P	178/M-P	小鋸鱷	無官方id
M-P	179/M-P	木守宮	無官方id
M-P	180/M-P	火稚雞	無官方id
M-P	181/M-P	水躍魚	無官方id
M-P	182/M-P	草苗龜	無官方id
M-P	183/M-P	小火焰猴	無官方id
M-P	184/M-P	波加曼	無官方id
M-P	185/M-P	藤藤蛇	無官方id
M-P	186/M-P	暖暖豬	無官方id
M-P	187/M-P	水水獺	無官方id
M-P	188/M-P	哈力栗	無官方id
M-P	189/M-P	火狐狸	無官方id
M-P	190/M-P	呱呱泡蛙	無官方id
M-P	191/M-P	木木梟	無官方id
M-P	192/M-P	火斑喵	無官方id
M-P	193/M-P	球球海獅	無官方id
M-P	194/M-P	敲音猴	無官方id
M-P	195/M-P	炎兔兒	無官方id
M-P	196/M-P	淚眼蜥	無官方id
M-P	197/M-P	新葉喵	無官方id
M-P	198/M-P	呆火鱷	無官方id
M-P	199/M-P	潤水鴨	無官方id
M-P	200/M-P	皮卡丘ex	無官方id
M-P	201/M-P	皮卡丘ex	無官方id
M-P	216/M-P	Pokémon RUN的皮卡丘	無官方id
M-P	219/M-P	謝米	無官方id
M-P	223/M-P	猛攻手鐲	無官方id
M-P	224/M-P	花舞鳥ex	無官方id
M-P	225/M-P	老大的指令 烏羽	無官方id
M-P	226/M-P	喵喵ex	無官方id
S-P	001/S-P	敲音猴	無官方id
S-P	002/S-P	轟擂金剛猩V	無官方id
S-P	003/S-P	炎兔兒	無官方id
S-P	004/S-P	閃焰王牌	無官方id
S-P	005/S-P	閃焰王牌V	無官方id
S-P	006/S-P	淚眼蜥	無官方id
S-P	007/S-P	千面避役V	無官方id
S-P	008/S-P	皮卡丘	無官方id
S-P	009/S-P	莫魯貝可	無官方id
S-P	010/S-P	巨炭山	無官方id
S-P	011/S-P	伽勒爾 喵頭目	無官方id
S-P	012/S-P	奇諾栗鼠	無官方id
S-P	013/S-P	狙射樹梟	無官方id
S-P	014/S-P	雷鳥海獸	無官方id
S-P	015/S-P	大顎蟻	無官方id
S-P	016/S-P	三首惡龍	無官方id
S-P	017/S-P	狐大盜	無官方id
S-P	018/S-P	無極汰那V	無官方id
S-P	019/S-P	巨鉗螳螂V	無官方id
S-P	020/S-P	銅象	無官方id
S-P	021/S-P	袋獸	無官方id
S-P	022/S-P	暴飛龍V	無官方id
S-P	023/S-P	茂詩	無官方id
S-P	024/S-P	道館訓練家	無官方id
S-P	025/S-P	皮卡丘	無官方id
S-P	026/S-P	莫魯貝可	無官方id
S-P	027/S-P	伊布	無官方id
S-P	028/S-P	以歐路普V	無官方id
S-P	029/S-P	小火龍	無官方id
S-P	030/S-P	皮卡丘V	無官方id
S-P	031/S-P	雷伊布	無官方id
S-P	032/S-P	夢妖魔	無官方id
S-P	033/S-P	布莉姆溫V	無官方id
S-P	034/S-P	小小象	無官方id
S-P	035/S-P	混混鱷	無官方id
S-P	036/S-P	伊布	無官方id
S-P	037/S-P	愛管侍	無官方id
S-P	038/S-P	索德與西爾迪	無官方id
S-P	039/S-P	娜姿&哈奇庫	無官方id
S-P	040/S-P	先機球	無官方id
S-P	041/S-P	敲音猴	無官方id
S-P	042/S-P	炎兔兒	無官方id
S-P	043/S-P	閃焰王牌V	無官方id
S-P	044/S-P	淚眼蜥	無官方id
S-P	045/S-P	皮卡丘	無官方id
S-P	046/S-P	叉字蝠V	無官方id
S-P	047/S-P	先機球	無官方id
S-P	048/S-P	可爾妮的氣勢	無官方id
S-P	049/S-P	希巴	無官方id
S-P	050/S-P	博士的研究 木蘭博士	無官方id
S-P	051/S-P	老大的指令 阪木	無官方id
S-P	052/S-P	瑪俐	無官方id
S-P	053/S-P	芳香草能量	無官方id
S-P	054/S-P	高溫火能量	無官方id
S-P	055/S-P	清洗水能量	無官方id
S-P	056/S-P	高速雷能量	無官方id
S-P	057/S-P	恐怖超能量	無官方id
S-P	058/S-P	岩石鬥能量	無官方id
S-P	059/S-P	潛行惡能量	無官方id
S-P	060/S-P	塗層鋼能量	無官方id
S-P	061/S-P	強力無色能量	無官方id
S-P	062/S-P	皮卡丘VMAX	無官方id
S-P	063/S-P	噴火龍	無官方id
S-P	084/S-P	索妮亞	無官方id
S-P	100/S-P	彩豆	無官方id
S-P	101/S-P	博士的研究 紅豆杉博士	無官方id
S-P	110/S-P	嘉德麗雅	無官方id
S-P	114/S-P	太陽伊布VMAX	無官方id
S-P	115/S-P	道館訓練家	無官方id
S-P	127/S-P	小菊兒的璀璨	無官方id
S-P	157/S-P	波加曼	無官方id
S-P	162/S-P	木木梟	無官方id
S-P	163/S-P	火球鼠	無官方id
S-P	164/S-P	水水獺	無官方id
S-P	165/S-P	高級球	無官方id
S-P	194/S-P	木木梟	無官方id
S-P	195/S-P	火球鼠	無官方id
S-P	196/S-P	水水獺	無官方id
S-P	201/S-P	皮卡丘	無官方id
S10D	068/067	洗翠 裙兒小姐V	無官方id
S10D	069/067	洗翠 裙兒小姐V	無官方id
S10D	070/067	倫琴貓V	無官方id
S10D	071/067	基拉祈V	無官方id
S10D	072/067	怪力V	無官方id
S10D	073/067	怪力V	無官方id
S10D	074/067	起源帝牙盧卡V	無官方id
S10D	075/067	起源帝牙盧卡V	無官方id
S10D	076/067	詭角鹿V	無官方id
S10D	077/067	菜種的活力	無官方id
S10D	078/067	剛石	無官方id
S10D	079/067	貝裏菈	無官方id
S10D	080/067	洗翠 裙兒小姐VSTAR	無官方id
S10D	081/067	怪力VMAX	無官方id
S10D	082/067	起源帝牙盧卡VSTAR	無官方id
S10D	083/067	菜種的活力	無官方id
S10D	084/067	剛石	無官方id
S10D	085/067	貝裏菈	無官方id
S10D	086/067	起源帝牙盧卡VSTAR	無官方id
S10D	087/067	健行鞋	無官方id
S10D	088/067	通頂雪道	無官方id
S10P	068/067	大針蜂V	無官方id
S10P	069/067	大針蜂V	無官方id
S10P	070/067	起源帕路奇亞V	無官方id
S10P	071/067	起源帕路奇亞V	無官方id
S10P	072/067	席多藍恩V	無官方id
S10P	073/067	劈斧螳螂V	無官方id
S10P	074/067	洗翠 大狃拉V	無官方id
S10P	075/067	洗翠 大狃拉V	無官方id
S10P	076/067	智揮猩V	無官方id
S10P	077/067	曉白	無官方id
S10P	078/067	查克洛	無官方id
S10P	079/067	珠貝	無官方id
S10P	080/067	席多藍恩VMAX	無官方id
S10P	081/067	起源帕路奇亞VSTAR	無官方id
S10P	082/067	劈斧螳螂VSTAR	無官方id
S10P	083/067	曉白	無官方id
S10P	084/067	查克洛	無官方id
S10P	085/067	珠貝	無官方id
S10P	086/067	起源帕路奇亞VSTAR	無官方id
S10P	087/067	神奧神殿	無官方id
S10P	088/067	雙重渦輪能量	無官方id
S10a	072/071	派拉斯特	無官方id
S10a	073/071	皮卡丘	無官方id
S10a	074/071	耿鬼	無官方id
S10a	075/071	洗翠 風速狗	無官方id
S10a	076/071	花岩怪	無官方id
S10a	077/071	卡比獸	無官方id
S10a	078/071	洗翠 頑皮雷彈V	無官方id
S10a	079/071	自爆磁怪V	無官方id
S10a	080/071	眷戀雲V	無官方id
S10a	081/071	艾路雷朵V	無官方id
S10a	082/071	洗翠 黏美龍V	無官方id
S10a	083/071	洗翠 索羅亞克V	無官方id
S10a	084/071	火夏	無官方id
S10a	085/071	野賊三姐妹	無官方id
S10a	086/071	阿芒	無官方id
S10a	087/071	望羅	無官方id
S10a	088/071	眷戀雲V	無官方id
S10a	089/071	艾路雷朵V	無官方id
S10a	090/071	自爆磁怪VSTAR	無官方id
S10a	091/071	洗翠 黏美龍VSTAR	無官方id
S10a	092/071	洗翠 索羅亞克VSTAR	無官方id
S10a	093/071	火夏	無官方id
S10a	094/071	野賊三姐妹	無官方id
S10a	095/071	阿芒	無官方id
S10a	096/071	望羅	無官方id
S10a	097/071	洗翠 索羅亞克VSTAR	無官方id
S10a	098/071	暗黑修正檔	無官方id
S10a	099/071	災禍箱	無官方id
S10b	072/071	阿羅拉 椰蛋樹V	無官方id
S10b	073/071	超夢V	無官方id
S10b	074/071	超夢V	無官方id
S10b	075/071	修建老匠V	無官方id
S10b	076/071	修建老匠V	無官方id
S10b	077/071	美錄梅塔V	無官方id
S10b	078/071	請假王V	無官方id
S10b	084/071	超夢VSTAR	無官方id
S10b	085/071	美錄梅塔VMAX	無官方id
S10b	086/071	快龍VSTAR	無官方id
S10b	091/071	超夢VSTAR	無官方id
S11	101/100	妖火紅狐V	無官方id
S11	102/100	酋雷姆V	無官方id
S11	103/100	洛托姆V	無官方id
S11	104/100	洛托姆V	無官方id
S11	105/100	化石翼龍V	無官方id
S11	106/100	化石翼龍V	無官方id
S11	107/100	龍王蠍V	無官方id
S11	108/100	伽勒爾 喵頭目V	無官方id
S11	109/100	伽勒爾 喵頭目V	無官方id
S11	110/100	騎拉帝納V	無官方id
S11	111/100	騎拉帝納V	無官方id
S11	112/100	大比鳥V	無官方id
S11	113/100	梅麗莎	無官方id
S11	114/100	捩木	無官方id
S11	115/100	千金小姐	無官方id
S11	116/100	阿克羅瑪的實驗	無官方id
S11	117/100	酋雷姆VMAX	無官方id
S11	118/100	化石翼龍VSTAR	無官方id
S11	119/100	龍王蠍VSTAR	無官方id
S11	120/100	騎拉帝納VSTAR	無官方id
S11	121/100	梅麗莎	無官方id
S11	122/100	捩木	無官方id
S11	123/100	千金小姐	無官方id
S11	124/100	阿克羅瑪的實驗	無官方id
S11	125/100	騎拉帝納VSTAR	無官方id
S11	126/100	放逐吸塵器	無官方id
S11	127/100	崩塌的競技場	無官方id
S11a	069/068	長尾火狐	無官方id
S11a	070/068	美納斯	無官方id
S11a	071/068	迷唇姐	無官方id
S11a	072/068	沙奈朵	無官方id
S11a	073/068	圖圖犬	無官方id
S11a	074/068	七夕青鳥	無官方id
S11a	075/068	君主蛇V	無官方id
S11a	076/068	萊希拉姆V	無官方id
S11a	077/068	阿羅拉 六尾V	無官方id
S11a	078/068	大嘴娃V	無官方id
S11a	079/068	瑪機雅娜V	無官方id
S11a	080/068	鳳王V	無官方id
S11a	081/068	長袖和服少女	無官方id
S11a	082/068	莎莉娜	無官方id
S11a	083/068	米可利	無官方id
S11a	084/068	君主蛇V	無官方id
S11a	085/068	大嘴娃V	無官方id
S11a	086/068	君主蛇VSTAR	無官方id
S11a	087/068	阿羅拉 六尾VSTAR	無官方id
S11a	088/068	大嘴娃VSTAR	無官方id
S11a	089/068	長袖和服少女	無官方id
S11a	090/068	莎莉娜	無官方id
S11a	091/068	米可利	無官方id
S11a	092/068	君主蛇VSTAR	無官方id
S11a	093/068	雙重渦輪能量	無官方id
S11a	094/068	V防守能量	無官方id
S12	115/098	雷吉艾勒奇VMAX	無官方id
S12	116/098	未知圖騰VSTAR	無官方id
S12	117/098	雷吉鐸拉戈VSTAR	無官方id
S12	118/098	洛奇亞VSTAR	無官方id
S12	119/098	神代	無官方id
S12	120/098	阿渡	無官方id
S12	121/098	小菘	無官方id
S12	122/098	工人	無官方id
S12	123/098	洛奇亞VSTAR	無官方id
S12	124/098	葉隱披風	無官方id
S12	125/098	大嘴沼澤	無官方id
S12a	259/172	起源帕路奇亞VSTAR	無官方id
S12a	260/172	起源帝牙盧卡VSTAR	無官方id
S12a	261/172	騎拉帝納VSTAR	無官方id
S12a	262/172	阿爾宙斯VSTAR	無官方id
S4	101/100	以歐路普V	無官方id
S4	102/100	烈箭鷹V	無官方id
S4	103/100	伽勒爾 達摩狒狒V	無官方id
S4	104/100	皮卡丘V	無官方id
S4	105/100	胡地V	無官方id
S4	106/100	伽勒爾 蔥遊兵V	無官方id
S4	107/100	龍王蠍V	無官方id
S4	108/100	堅盾劍怪V	無官方id
S4	109/100	丹帝	無官方id
S4	110/100	露璃娜	無官方id
S4	111/100	彩豆	無官方id
S4	112/100	以歐路普VMAX	無官方id
S4	113/100	伽勒爾 達摩狒狒VMAX	無官方id
S4	114/100	皮卡丘VMAX	無官方id
S4	115/100	堅盾劍怪VMAX	無官方id
S4	116/100	丹帝	無官方id
S4	117/100	露璃娜	無官方id
S4	118/100	彩豆	無官方id
S4	119/100	伽勒爾 堵攔熊	無官方id
S4	120/100	望遠鏡	無官方id
S4	121/100	回憶膠囊	無官方id
S4a	191/190	茂詩	無官方id
S4a	192/190	道館訓練家	無官方id
S4a	193/190	養鳥人	無官方id
S4a	194/190	聶梓	無官方id
S4a	195/190	風露	無官方id
S4a	196/190	阿球	無官方id
S4a	197/190	寶可夢小朋友	無官方id
S4a	198/190	瑪俐	無官方id
S4a	199/190	洛茲	無官方id
S4a	200/190	木木梟	無官方id
S4a	201/190	投羽梟	無官方id
S4a	202/190	狙射樹梟	無官方id
S4a	203/190	敲音猴	無官方id
S4a	204/190	啪咚猴	無官方id
S4a	205/190	轟擂金剛猩	無官方id
S4a	206/190	索偵蟲	無官方id
S4a	207/190	天罩蟲	無官方id
S4a	208/190	以歐路普	無官方id
S4a	209/190	幼棉棉	無官方id
S4a	210/190	白蓬蓬	無官方id
S4a	211/190	啃果蟲	無官方id
S4a	212/190	蘋裹龍	無官方id
S4a	213/190	豐蜜龍	無官方id
S4a	214/190	炎兔兒	無官方id
S4a	215/190	騰蹴小將	無官方id
S4a	216/190	閃焰王牌	無官方id
S4a	217/190	燒火蚣	無官方id
S4a	218/190	焚焰蚣	無官方id
S4a	219/190	伽勒爾 魔牆人偶	無官方id
S4a	220/190	伽勒爾 踏冰人偶	無官方id
S4a	221/190	水君	無官方id
S4a	222/190	伽勒爾 火紅不倒翁	無官方id
S4a	223/190	伽勒爾 達摩狒狒	無官方id
S4a	224/190	淚眼蜥	無官方id
S4a	225/190	變澀蜥	無官方id
S4a	226/190	千面避役	無官方id
S4a	227/190	咬咬龜	無官方id
S4a	228/190	暴噬龜	無官方id
S4a	229/190	古月鳥	無官方id
S4a	230/190	刺梭魚	無官方id
S4a	231/190	戽斗尖梭	無官方id
S4a	232/190	雪吞蟲	無官方id
S4a	233/190	雪絨蛾	無官方id
S4a	234/190	冰砌鵝	無官方id
S4a	235/190	鰓魚龍	無官方id
S4a	236/190	鰓魚海獸	無官方id
S4a	237/190	洛托姆	無官方id
S4a	238/190	來電汪	無官方id
S4a	239/190	逐電犬	無官方id
S4a	240/190	毒電嬰	無官方id
S4a	241/190	顫弦蠑螈	無官方id
S4a	242/190	啪嚓海膽	無官方id
S4a	243/190	莫魯貝可	無官方id
S4a	244/190	雷鳥龍	無官方id
S4a	245/190	雷鳥海獸	無官方id
S4a	246/190	伽勒爾 小火馬	無官方id
S4a	247/190	伽勒爾 烈焰馬	無官方id
S4a	248/190	伽勒爾 太陽珊瑚	無官方id
S4a	249/190	伽勒爾 魔靈珊瑚	無官方id
S4a	250/190	咚咚鼠	無官方id
S4a	251/190	來悲茶	無官方id
S4a	252/190	怖思壺	無官方id
S4a	253/190	迷布莉姆	無官方id
S4a	254/190	提布莉姆	無官方id
S4a	255/190	布莉姆溫	無官方id
S4a	256/190	小仙奶	無官方id
S4a	257/190	霜奶仙	無官方id
S4a	258/190	愛管侍	無官方id
S4a	259/190	多龍梅西亞	無官方id
S4a	260/190	多龍奇	無官方id
